"filename", "language", "SCSS", "JavaScript", "JSON", "Markdown", "CSS", "Log", "comment", "blank", "total"
"/Users/saitejakonda/Documents/binapp/components/Upload.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 5, 78
"/Users/saitejakonda/Documents/binapp/components/catCreate.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 3, 41
"/Users/saitejakonda/Documents/binapp/components/catEdit.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 4, 43
"/Users/saitejakonda/Documents/binapp/data/product.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 1, 78
"/Users/saitejakonda/Documents/binapp/data/store.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/saitejakonda/Documents/binapp/data/voxStore.js", "JavaScript", 0, 248, 0, 0, 0, 0, 8, 27, 283
"/Users/saitejakonda/Documents/binapp/lib/api.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 2, 13
"/Users/saitejakonda/Documents/binapp/lib/theme.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 4, 32
"/Users/saitejakonda/Documents/binapp/next.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/saitejakonda/Documents/binapp/package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 1, 43
"/Users/saitejakonda/Documents/binapp/pages/_app.js", "JavaScript", 0, 56, 0, 0, 0, 0, 18, 6, 80
"/Users/saitejakonda/Documents/binapp/pages/_document.js", "JavaScript", 0, 55, 0, 0, 0, 0, 44, 11, 110
"/Users/saitejakonda/Documents/binapp/pages/admin/index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/saitejakonda/Documents/binapp/pages/admin/login.js", "JavaScript", 0, 74, 0, 0, 0, 0, 8, 5, 87
"/Users/saitejakonda/Documents/binapp/pages/admin/products.js", "JavaScript", 0, 209, 0, 0, 0, 0, 0, 11, 220
"/Users/saitejakonda/Documents/binapp/pages/api/hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 2, 6
"/Users/saitejakonda/Documents/binapp/pages/dash.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"/Users/saitejakonda/Documents/binapp/pages/index.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 4, 47
"/Users/saitejakonda/Documents/binapp/pages/products/[id].js", "JavaScript", 0, 207, 0, 0, 0, 0, 0, 12, 219
"/Users/saitejakonda/Documents/binapp/pages/upload.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"/Users/saitejakonda/Documents/binapp/pages/user/login.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Users/saitejakonda/Documents/binapp/pages/user/signup.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"/Users/saitejakonda/Documents/binapp/styles/Home.module.css", "CSS", 0, 0, 0, 0, 105, 0, 0, 18, 123
"/Users/saitejakonda/Documents/binapp/styles/globals.scss", "SCSS", 427, 0, 0, 0, 0, 0, 27, 25, 479
"/Users/saitejakonda/Documents/binapp/styles/style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/saitejakonda/Documents/binapp/utils/Paginate.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/saitejakonda/Documents/binapp/utils/imageUpload.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 2, 9
"/Users/saitejakonda/Documents/binapp/utils/urlConfig.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 0, 3
"/Users/saitejakonda/Documents/binapp/yarn-error.log", "Log", 0, 0, 0, 0, 0, 2674, 0, 436, 3110
"Total", "-", 427, 5891, 42, 20, 105, 2674, 243, 919, 10321
